,UPI_OUTFLOW_INFLOW_RATIO,UPI_LIQUIDITY_PRESSURE_SCORE,UPI_NET_MONTHLY_CASHFLOW,monthly_outflow,inflow_txn_count,monthly_inflow,UPI_ACTIVE_DAY_RATIO,active_days,UPI_COUNTERPARTY_DIVERSITY,outflow_txn_count,median_txn_value,avg_txn_value,monthly_txn_count,distinct_counterparties,weekend_txn_ratio,weekday_txn_ratio,TARGET
UPI_OUTFLOW_INFLOW_RATIO,1.0,1.0,-0.19732628266906727,-0.005302086379996635,-0.31023326631423714,-0.1728003040322479,-0.0703897111690593,-0.07038971116905983,0.10431635954662542,0.03949542722795909,-0.076383452314135,-0.06706125738065309,-0.2043757521123593,-0.04730145766160472,-0.01463547048708938,0.014635470487089316,0.32968782957570214
UPI_LIQUIDITY_PRESSURE_SCORE,1.0,1.0,-0.19732628266906727,-0.005302086379996635,-0.31023326631423714,-0.1728003040322479,-0.0703897111690593,-0.07038971116905983,0.10431635954662542,0.03949542722795909,-0.076383452314135,-0.06706125738065309,-0.2043757521123593,-0.04730145766160472,-0.01463547048708938,0.014635470487089316,0.32968782957570214
UPI_NET_MONTHLY_CASHFLOW,-0.19732628266906727,-0.19732628266906727,1.0,0.6049881530209265,-0.039756130208556055,0.9879737962541101,0.024420958958164582,0.024420958958165026,0.6780452182304197,-0.2829876475313189,0.8022283993098814,0.7754523075223668,-0.3134042304506066,0.011483378642906734,0.0011045341243926367,-0.0011045341243925547,-0.07444143127582856
monthly_outflow,-0.005302086379996635,-0.005302086379996635,0.6049881530209265,1.0,0.21237312577299342,0.7208273325335642,0.08365229524945456,0.08365229524945618,0.4194619087775806,-0.3007812814433266,0.6700928583657315,0.7009301877492553,-0.1330431313182409,0.0441183607171254,0.012848480581039042,-0.012848480581038648,0.05992354455028173
inflow_txn_count,-0.31023326631423714,-0.31023326631423714,-0.039756130208556055,0.21237312577299342,1.0,0.006633564895314447,0.26097330791819384,0.26097330791819057,-0.21020571465052204,-0.3903067509483654,-0.021892439922012407,0.0077996507484907555,0.396545619860908,0.14043509233810467,0.03374143082303751,-0.03374143082303755,-0.05342454808429744
monthly_inflow,-0.1728003040322479,-0.1728003040322479,0.9879737962541101,0.7208273325335642,0.006633564895314447,1.0,0.03750272225736495,0.03750272225736474,0.6716876749955705,-0.3047470613563137,0.8284581976072303,0.8111381849522094,-0.2986512089202268,0.018563553309075893,0.0034565432535801784,-0.003456543253580145,-0.05316397075719551
UPI_ACTIVE_DAY_RATIO,-0.0703897111690593,-0.0703897111690593,0.024420958958164582,0.08365229524945456,0.26097330791819384,0.03750272225736495,1.0,0.9999999999999899,-0.09303493479009559,0.4571796419875583,0.0024045551173310807,0.001804547120874331,0.6609059715291659,0.3248531483164192,0.05883054788067383,-0.058830547880674273,0.04938442957671592
active_days,-0.07038971116905983,-0.07038971116905983,0.024420958958165026,0.08365229524945618,0.26097330791819057,0.03750272225736474,0.9999999999999899,1.0,-0.09303493479009373,0.45717964198755645,0.00240455511733106,0.0018045471208742773,0.6609059715291601,0.3248531483164198,0.05883054788067391,-0.058830547880673996,0.049384429576715315
UPI_COUNTERPARTY_DIVERSITY,0.10431635954662542,0.10431635954662542,0.6780452182304197,0.4194619087775806,-0.21020571465052204,0.6716876749955705,-0.09303493479009559,-0.09303493479009373,1.0,-0.37928931927955767,0.6765697185134071,0.6547849465246128,-0.543352379413293,0.2035014556323165,-0.014241354118075,0.014241354118074926,0.04849976617121791
outflow_txn_count,0.03949542722795909,0.03949542722795909,-0.2829876475313189,-0.3007812814433266,-0.3903067509483654,-0.3047470613563137,0.4571796419875583,0.45717964198755645,-0.37928931927955767,1.0,-0.29553840892304895,-0.3108376743927462,0.6904281092033251,0.23873039175029911,0.045414056204687435,-0.04541405620468812,0.031015973619587786
