model,model_family,model_version,feature_count,threshold,evaluation_rows,accuracy,auc_roc,brier_score,default_rate,tn,fp,fn,tp
FULL,weighted_blend,full_weighted_blend_v2.2.0,269,0.35,307511,0.9204613818692665,0.8338227331812132,0.06344742155021585,0.08072881945686496,280466,2220,22239,2586
REDUCED,xgboost,reduced_v2.1.0,147,0.35,307511,0.9177655433464169,0.7776235680283482,0.06701454856723482,0.08072881945686496,280115,2571,22717,2108
UPI,xgboost,upi_v1.1.0,17,0.35,99988,0.9226707204864584,0.8504394380659455,0.06234313776278487,0.09607152858343002,88573,1809,5923,3683
